//Vanilla
Invert X|Spiegel X
Don't. My systems have already been damaged enough as it is. Go away.|Niet doen. Mijn systemen zijn al genoeg beschadigd. Ga weg.
Best of luck to you, and your family. There is nothing else I can do.|Veel geluk aan jou, en je familie. Er is verder niets dat ik voor je kan doen.
Go... away... bad... thing...|Ga... weg... slecht... ding...
Five Pebbles (Primary Cortex)|Vijf Kiezels (Primaire Cortex)
Abstract Convergence Manifold|Abstract Convergerend Verdeelstuk
Take your offspring with you.|Neem je kroost met je mee.
Too... broken...|Te... kapot...
The Rot (Depths)|De Rot (Dieptes)
Silent Construct|Stille Constructie
Windswept Spires|Winderige Spitsen
Hold to view map|Ingedrukt houden om de kaart te bekijken
Parry ## attacks|Blokkeer ## aanvallen
Met Five Pebbles|Ontmoette Vijf Kiezels
...help... me...|...help... me...
LET GO! p please|LAAT LOS! als alsjeblieft
Shall we finish?|Zullen we het afmaken?
No! You... killed... me!|Nee! Je... doodde... me!
The Rot (Cystic Conduit)|De Rot (Cystische Kanaal)
creaturetype-StowawayBug|Landpok
creaturetype-JungleLeech|Jungle Bloedzuiger
Submerged Superstructure|Onderzees Superstructuur
Please do not do that...|Doe dat alsjeblieft niet...
...Not forgotten pain...|...Niet vergeten pijn...
No! <CapPlayerName> ate... me!|Nee! <CapPlayerName> at... me!
##<LINE>without anything dying|##<LINE>zonder dat iets sterft
Welcome back little messenger.|Welkom terug, kleine boodschapper.
...Little green friend. Hello.|...Kleine bezoeker. Hallo.
Spanish translation by Garrakx|Spaanse vertaling door Garrakx
No! Am... broken... because you...|Nee! Ben... kapot... omdat jij...
Five Pebbles (Linear Systems Rail)|Vijf Kiezels (Lineaire Systemen Hoofdlijn)
Looks to the Moon (Memory Conflux)|Kijkt naar de Maan (Geheugen Samenvloeiing)
Have you brought your family here?|Heb je een kleintje meegenomen?
Hello again. Shall I keep reading?|Hallo alweer. Zal ik doorgaan met lezen?
No!|Nee!
WO:|DO:
PI:|PI:
GS:|SK:
SI:|VI:
HR:|HR:
CW:|WJ:
EP:|EK:
FP:|VK:
HF:|GW:
UU:|ON:
Eat|Eten
Sit|Zitten
Bow|Buigen
Eat|Eten
Fly|Vliegen
Run|Rennen
Leave... me alone. Terrible... creature...|Laat... me alleen. Verschrikkelijk... wezen...
I have read this. As I have stated before:|Ik heb dit gelezen. Zoals gezegd:
Explosive jump while holding down to parry|Voer een explosieve sprong uit terwijl je Omlaag ingedrukt houd om een aanval te blokkeren
Looks to the Moon's Transcription (Future)|Kijkt naar de Maan's Transcriptie (Toekomst)
You'd better hurry along, little creature!|Je kunt beter opschieten, dappere boodschapper.
I have nothing to say to you, <PlayerName>.|Ik heb niets tegen jou te zeggen, <PlayerName>.
Press jump in the air to extend your tongue|Druk op Springen in de lucht om je tong uit te rekken
Use directional inputs to aim the ascension|Gebruik de Richtingsknoppen om je verheffing te richten
Did you not register what I've said to you?|Heb je niet geregistreerd wat ik tegen je gezegd hebt?
Please, leave quickly, while you still can.|Alsjeblieft, ga snel weg, nu het nog kan.
Go away, <PlayerName>.|Ga weg, <PlayerName>.
creaturetype-EelLizard|Aalgedis
creaturetype-AquaCenti|Duikendpoot
creaturetype-Inspector|Inspecteur
Atop the Tallest Tower|Bovenop de Hoogste Toren
Primordial Underground|Oer-Ondergrond
Survive for ## seconds|Overleef ## seconden
Safari region unlocked|Safari gebied ontgrendeld
Hold grab to activate.|Houd vastpakken ingedrukt om te activeren.
The Pilgrim-linebreaks|De Pelgrim
Wait, that's not food!|Wacht, dat is geen eten!
not... edible, please.|niet... eetbaar, alsjeblieft.
...don't... trust you.|...vertrouw... jou niet.
Keep your family safe!|Hou je familie veilig!
...Go find... shelter.|...Ga terug… naar thuis.
Assets and content by:|Assets en inhoud door:
Leave me alone...|Laat me alleen...
creaturetype-Yeek|Pieper
Forgotten Conduit|Vergeten Pijpen
Frosted Cathedral|Bevroren Kathedraal
Glacial Wasteland|IJskoude Woestenij
Ancient Labyrinth|Eeuwenoud Labyrinth
Put a ## in a den|Stop een ## in een schuilplaats
...Nice to see...|...Leuk je te zien...
...Cold coming...|...Er komt vorst...
Stop! Stop giving me your junk!|Hou! Hou op met mij jouw rotzooi te geven!
Facility Roots (Western Intake)|Faciliteitswortelen (Westerse Inname)
Clear the game as ## to unlock.|Voltooi het spel als ## om dit te ontgrendelen.
...why did you... save... me...|...waarom heb je... me... gered...
Where do you find all of these?|Waar vind je dit allemaal?
Let us see what you have found.|Laten we eens zien wat je hebt gevonden.
...Why... take all I... have...|...Waarom... neem je alles... dat ik heb...
...Thank you... for... company.|...Dank je... voor... je gezelschap.
...Find heat... Cold is danger.|...Zoek warmte... De kou is gevaarlijk.
Korean translation by topicular|Koreaanse vertaling door topicular
Leave me alone! You terrible creature!|Laat me alleen! Jij verschrikkelijk wezen!
Pups can now be found in Sandbox Mode.|Welpen kunnen nu gevonden worden in de Sandbox Modus.
Cold... You better go. I will be fine.|Kou... Je kunt beter gaan. Ik red me wel.
The storm is coming. You should leave.|De sneeuwstorm komt eraan. Je kunt beter hier weg komen.
We have read this one, little creature.|We hebben dit gelezen, klein wezen.
Clear the game as <X> or <Y> to unlock.|Eindig het spel als <X> of <Y> om dit te ontgrendelen.
Is that something new? Allow me to see.|Is dat iets nieuws? Laat me eens zien.
Special button interactions:|Speciale knop interacties:
Auxiliary Transmission Array|Ondersteunende Transmissie Opstelling
Auxillery Transmission Array|Ondersteunende Transmissie Opstelling
Hold to select and use doors|Houd ingedrukt om te selecteren<LINE>en deuren te gebruiken
...It is... warmer... today.|...Het is... warmer... vandaag.
Tap Pick up and Jump together to explosive jump|Druk tegelijkertijd op springen en oppakken om een explosieve sprong uit te voeren
Hold Throw while flying to perform an ascension|Houd gooien ingedrukt terwijl je vliegt om een verheffing uit te voeren
Rubicon content is now available in Arena Mode.|Rubicon inhoud is nu beschikbaar in de Arena Modus.
I am surprised you have found so many of these.|Het verrast me dat je zoveel van deze hebt gevonden.
Ah, don't worry about me. You should get going!|Ah, maak je maar geen zorgen over mij. Je kunt beter gaan!
Oh. It's you, why have you come back...? Again.|Oh. Jij bent het, waarom ben je terug...? Alweer.
Hold Pick Up with an empty hand to generate a spear|Houd Oppakken ingedrukt met een lege hand om een speer te maken
This is not a request. I have important work to do.|Dit is geen vraag. Ik heb belangrijk werk te verrichten.
Press throw with empty hands to extend your tongue|Druk op Gooien met lege handen om je tong uit te rekken
Hold Pick Up to move a spear to and from your back|Houd Oppakken ingedrukt om een speer op je rug te plaatsen en er van af te halen
Undelete the challenge you just deleted to unlock.|Onverwijder de uitdaging die je zojuist verwijderde om dit te ontgrendelen.
Hello again. I hope you have a reason to visit me.|Hallo alweer. Ik hoop dat je een reden hebt om me te bezoeken.
Tap Pick up and Jump together to take flight|Druk tegelijkertijd op Oppakken en Springen om te vliegen
You better go, <PlayerName>! I will be fine.|Je moet een schuilplaats gaan zoeken, <PlayerName>! Maak je maar geen zorgen over mij.
...So little... left. Why hurt... me more...|... Zo weinig... over. Waarom doe je... me meer pijn...
Hold Pick Up while holding up to combine two differing items|Houd Oppakken en Omhoog tegelijkertijd ingedrukt om twee verschillende voorwerpen te combineren
Try using your weight in creative ways to gain an advantage.|Probeer je gewicht op creatieve manieren in je voordeel te gebruiken.
Oh? What have you found this time? Let's see what it says...|Oh? Wat heb je deze keer gevonden? Laten we eens lezen wat erop staat...
Hold Pick Up to regurgitate a random item|Houd Oppakken ingedrukt om een willekeurig voorwerp uit te spugen
Clear a total of ## challenges to unlock.|Voltooi in totaal van ## uitdagingen om dit te ontgrendelen.
There's not a lot of time. You should go!|Er is geen tijd meer. Je moet gaan!
Take your offspring with you when you go.|Neem je kroost mee als je gaat.
Have you brought something new this time?|Heb je deze keer iets nieuws meegebracht?
[ Collection Empty ]|[ Lege Collectie ]
Unique pearls read :|Unieke parels gelezen :
creaturetype-FireBug|Vuurdrager
creaturetype-SlugNPC|Slakwelp
objecttype-JokeRifle|Joke Geweer
objecttype-GooieDuck|Zwaardschede
objecttype-LillyPuck|Leliepuck
objecttype-MoonCloak|Mantel
Ascend all creatures|Verhef alle wezens
Escort a ## to a den|Breng een ## naar een hol
Food quest completed|Voedseltocht compleet
The Nomad-linebreaks|De Nomade
Oh, leaving already?|Ga je al?
Where are you going?|Waar ga je naar toe?
Looks to the Moon (Abstract Convergence Manifold)|Kijkt naar de Maan (Abstract Convergerend Verdeelstuk)
Change the slugcat class/abilities for Player <X>|Verander de slakkat klasse/krachten voor Speler <X>
Refer to the Pause Menu for Safari Mode controls.|Refereer naar het Pauze Menu voor de Safari Modus controls.
Looks to the Moon (Neural Terminus)|Kijkt naar de Maan (Zenuw-Eindpunt)
Have you come back to see me again?|Ben je teruggekomen om mij weer te zien?
Get... get away... round.... thing.|Ga... ga weg... rond.... ding.
Wait, please don't leave with that!|Wacht, je kunt daar niet mee weggaan!
...Friend... please find... safety.|...Vriend... breng jezelf alsjeblieft... in veiligheid.
Looks to the Moon (Vents)|Kijkt naar de Maan (Uitlaten)
creaturetype-MirosVulture|Mirosgier
creaturetype-MotherSpider|Moederspin
objecttype-DandelionPeach|Perzikpluim
Unknown Pearl Contents...|Onbekende Parel Inhoud...
## without anything dying|## zonder dat iets sterft
Arena character unlocked:|Arena personage ontgrendelt:
What are you doing? Stop!|Wat ben je aan het doen? Stop!
...storm... coming... Go!|...storm... komt eraan... Ga!
...Please find... Warmth.|...Vind alsjeblieft... Warmte.
...Why did... you stay...|...Waarom bleef... je hier...
Submerged Superstructure (The Heart)|Onderzees Superstructuur (Het Hart)
Ah, welcome back. As I was saying...|Welkom terug. Zoals ik al zei...
##<LINE>without letting a @@ die|##<LINE>zonder een @@ te laten sterven
Submerged Superstructure (Vents)|Onderzees Superstructuur (Uitlaten)
Oh... Good bye, little creature.|Oh... Tot ziens, klein wezen.
While in the air, tap jump and pick-up together to take flight.|Terwijl je in de lucht bent, druk tegelijkertijd op Springen en Oppakken om te vliegen.
Developer Commentary mode is now available in the Options menu.|De Ontwikkelaars' Commentaar modus is nu beschikbaar in het Opties menu.
Stop, that's dangerous! You are going to break something again!|Stop, dat is gevaarlijk! Je maakt straks weer iets kapot!
Hold throw and directional inputs while flying to perform an ascension.|Houd Gooien en richtingsknoppen ingedrukt terwijl je vliegt om een verheffing uit te voeren.
Friends sheltered :|Vrienden in schuilplaats :
objecttype-GlowWeed|Gloei Wier
Waterfront Facility|Waterkant Faciliteit
Linear Systems Rail|Lineaire Systemen Hoofdlijn
Befriend a creature|Bevriend een wezen
Unique pearls read:|Unieke parels gelezen:
stop, don... don't!|stop, nie... niet doen!
Let us take a look.|Laten we eens een kijkje nemen.
It is getting cold.|Het begint te vriezen.
What are you doing?|Wat ben je aan het doen?
...All I... have...|...Alles wat... ik heb...
...Bring it back...|...Breng het terug...
creaturetype-SpitLizard|Karamel Hagedis
creaturetype-ZoopLizard|Aardbei Hagedis
Warp to random creature|Teleporteer naar een willekeurig wezen
Are you not interested?|Ben je niet geïnteresseerd?
What a dumb creature...|Wat een dom wezen...
creaturetype-TerrorLongLegs|Horrorwagen
creaturetype-ScavengerElite|Elite Schooier
Five Pebble's Transcription|Vijf Kiezels' Transcriptie
## without letting a @@ die|## zonder een @@ te laten sterven
...Little... green thing...|...Klein... groen ding...
...You should... find heat.|...Je moet... warmte vinden.
...Too cold... Alone again.|...Bevriezen... Alweer alleen.
creaturetype-BigJelly|Reuzenkwal
objecttype-EnergyCell|Verdunningscel
Met Looks to the Moon|Ontmoette Kijkt naar de Maan
The Martyr-linebreaks|De Lijder
The Mother-linebreaks|De Moeder
No! Don't... hurt me!|Nee! Doe me... geen pijn!
... stop... please...|... stop... alsjeblieft...
Please do not return.|Kom alsjeblieft niet terug.
That can't be good...|Dat kan niet goed zijn...
...No, don't... take!|...Nee, neem dat... niet!
...Give it... back...|...Geef het... terug...
...Leave me... alone.|...Laat me... alleen.
objecttype-FireEgg|Vuurei
[ No Data Loaded ]|[ Geen Data Geladen ]
Kill all creatures|Dood alle wezens
Friends sheltered:|Vrienden in schuilplaats:
Leave me... alone.|Laat me... alleen.
Let me continue...|Laat me verder praten...
...Give... back...|...Geef... terug...
objecttype-Seed|Popcorn
THE SPEARMASTER|DE SPEERMEESTER
The Spearmaster|De Speermeester
Solitary Towers|Eenzame Torens
Neural Terminus|Zenuw-Eindpunt
Desolate Fields|Verlaten Velden
Suburban Drifts|Drijvende Randen
Barren Conduits|Lege Pijpen
Emotional State|Emotionele Status
Ascend every ##|Verhef alle ##
Pop every plant|Pop elke plant
Parry ## attack|Blokkeer ## aanvallen
Oh... Good bye.|Oh... Tot ziens.
[ Notice ]|[ Aankondiging ]
COLLECTION|COLLECTIE
Metropolis|Metropolis
The Gutter|De Goot
Cannonball|Bommetje
Swap Heads|Wissel van Hoofden
Camouflage|Camouflage
Time Limit|Tijdslimiet
## Seconds|## Seconden
Acceptance|Aanvaarding
The Martyr|De Lijder
The Mother|De Moeder
GET OUT!|GA WEG!
Survivor|Overlever
Gourmand|Bourgondiër
Pipeyard|Pijpendoolhof
The Husk|Het Omhulsel
Ascended|Verheven
Parries:|Aanvallen geblokkeerd:
GET OUT.|GA WEG.
Suns...?|Zonnen...?
...No...|...Nee...
Five Pebbles:|Vijf Kiezels:
THE ARTIFICER|DE SCHEPPER
The Artificer|De Schepper
Outer Expanse|De Wildernis
The Precipice|De Afgrond
Journey's End|Einde van de Reis
Change target|Verander van doelwit
Win Condition|Win Conditie
Kill every ##|Dood iedere ##
Befriend a ##|Bevriend een ##
Gain ## point|Verdien ## punt
What is this?|Wat is dit?
Please leave.|Ga alsjeblieft weg.
...Go away...|...Ga weg...
THE RIVULET|DE WATERRAT
The Rivulet|De Waterrat
Spearmaster|Speermeester
Undergrowth|Vergroeiing
Sunken Pier|Verdronken Pier
Frozen Mast|Bevroren Mast
Sump Tunnel|Opvangtunnel
Hang on Mom|Hang aan Mama
Telekinesis|Telekinesis
<X> and <Y>|<X> en <Y>
The Pilgrim|De Pelgrim
...storm...|...storm...
...Hello...|...Hallo...
THE GOURMAND|DE BOURGONDIËR
The Gourmand|De Bourgondiër
Random start|Willekeurige start
Icy Monument|IJzig Monument
Bitter Aerie|Bitter Nest
Frigid Coast|IJzige Kust
Disable Rain|Regen Uitschakelen
Pick up Food|Voedsel Oppakken
Hello there.|Hallo daar.
Well then...|Wel dan...
...Why back?|...Waarom terug?
THE SAINT|DE HEILIGE
The Saint|De Heilige
Artificer|Schepper
The Floor|De Vloer
The Shell|De Schelp
The Heart|Het Hart
Water Jet|Water Straal
Spray Ink|Inkt Sproeien
Creatures|Wezens
The Nomad|De Nomade
Clear the game as Gourmand, Artificer, or Hunter to unlock.|Voltooi het spel als De Bourgondiër, De Schepper of De Jager om dit te ontgrendelen.
Hold the EAT button while a stunned creature is being held.|Houd de Eten knop ingedrukt terwijl je een verlamt wezen vasthoudt.
The Rarefaction Cell item is now available in Sandbox Mode.|De Verdunningscel is nu beschikbaar in de Sandbox Modus.
Little messenger, we do not have much time. You must hurry!|Kleine boodschapper, we hebben niet veel tijd. Je moet opschieten!
Clear the game as Rivulet and Spearmaster to unlock.|Voltooi het spel als De Waterrat en De Speermeester om dit te ontgrendelen.
Breathes underwater, and moves through the world with ease. These adaptations are essential,<LINE>as you'll be pitted against a world of increasingly frequent floods, where time is of the essence.|Ademt onderwater en beweegt zich moeiteloos door de wereld. Deze aanpassingen zijn essentieel<LINE>in een wereld van steeds vaker voorkomende vloedgolven, waar tijd kostbaar is.
A fierce combatant, master of pyrotechnics and explosives. Keen to move up in<LINE>the foodchain, your journey will surely be one lined with constant bloodshed and warfare.|Een pittige vechter, meester van pyrotechnieken en explosieven. Gericht op het verhogen van de plek in<LINE>de voedselketen, jouw reis zal er een zijn van constant bloedvergiet en geweld.
Frail and armed with a long tongue. Your journey will be one of perfect enlightenment,<LINE>but walking this path requires patience, caution, and complete attunement with the world.|Zwak en gewapend met een lange tong. Jouw reis zal er een van perfecte verlichting zijn,<LINE>maar dit pad vergt geduld, voorzichtigheid en een complete afstemming op de wereld.
An abnormality who feeds using needles pulled from its body. A traveller from a<LINE>far away land; A feeling in your depths sets you out once again, messenger...| Een abnormaliteit die zich voedt met naalden uit hun lichaam. Een reiziger uit een<LINE>vergelegen land; Een gevoel in je dieptes zet je weer op reis, boodschapper...
An indulger of the simpler pleasures in life. Carrying the world in your stomach gives<LINE>many tactical advantages, but comes at an increased cost of sustainability.|Een genieter van de simpele dingen in het leven. Het dragen van de wereld in je buik geeft<LINE>vele tactische voordelen, maar komt met de kost van verhoogde duurzaamheid.
Looks to the Moon's Transcription|Kijkt naar de Maan's Transcriptie
Ah. Have you found something new?|Ah. Heb je iets nieuws gevonden?
Oh... Good luck, little creature.|Veel geluk, mijn onfortuinlijke kleine vriend.
Looks to the Moon's Transcription (Pre-Collapse)|Kijkt naar de Maan's Transcriptie (Pre-Instorting)
The Rifle item is now available in Sandbox Mode.|Het Geweer voorwerp is nu beschikbaar in de Sandbox Modus.
How cute, you brought your family, <PlayerName>?|Wat schattig, je hebt een kindje meegenomen, <PlayerName>.
12th Council Pillar, the House of Braids|12de Raadspilaar, Huis der Vlechten
Pups can now be found in some campaigns.|Welpen kunnen nu gevonden worden in sommige campagnes.
Ah, you have found me something to read?|Ah, heb je iets voor me gevonden om te lezen?
Oh... Please be careful on your journey.|Wees alsjeblieft voorzichtig tijdens je reis.
Please, a moment of your time to finish?|Alsjeblieft, een beetje van je tijd om dit af te maken?
Primary Cortex|Primaire Cortex
Cystic Conduit|Cystisch Kanaal
Desolate Canal|Verlaten Kanaal
Play as target|Speel als doelwit
Revoke Control|Geef Op Controle
Challenge #<X>|Uitdaging #<X>
Gain ## points|Verdien ## punten
it... hurts...|het... doet pijn...
Let me finish.|Laat me uitpraten.
Revisit regions that were explored in the single player campaigns,<LINE>this time as an outside observer that watches the ecosystem<LINE>unfold, uninterrupted by the antics of the player.|Hervisiet gebieden die je tijdens de verhaalcampagnes hebt ontdekt,<LINE>deze keer als een buitenstaander die toe kijkt hoe het ecosysteem<LINE>zich ontbloeit, ongestoord door de capriolen van de speler.
Try to meet the win requirements on a series of pre-constructed arena<LINE>scenarios. More challenges will be unlocked as progression is made by<LINE>clearing the single player campaigns.|Probeer de win-benodigdheden van een serie van voorgebouwde arena<LINE>scenario's te behalen. Meer uitdagingen worden ontgrendeld wanneer je voortgang<LINE>boekt bij het voltooien van verhaalcampagnes.
While in the air, tap jump and pick-up together to activate karmic enlightenment.|Terwijl je in de lucht bent, druk tegelijkertijd op Springen en Oppakken om karmische verlichting te activeren.
While in the air, press jump and pick-up together, to propel yourself explosively.|Terwijl je in de lucht bent, druk tegelijkertijd op Springen en Oppakken om jezelf explosief voort te stuwen.
Tap the throw button to extend your tongue. Press jump while attached to let go.|Druk op Gooien om je tong uit te rekken. Druk op Springen terwijl je vastzit om los te laten.
Tap jump in the air to extend your tongue. Press jump again while attached to let go.|Druk op Springen om je tong uit te rekken. Druk nog een keer terwijl je vastzit om los te laten.
While you are attached to something, use up and down to extend or retract your tongue.|Terwijl je vastzit, gebruik Omhoog en Omlaag om je tong uit of in te rekken.
You are cold and hungry. Find shelter from the storm soon, or you will pass out from the cold.|Je bent koud en hebt honger. Vind snel een schuilplaats voor de storm of je komt om van de kou.
Only warm objects can rejuvenate your body heat in this extreme cold, but they will not last forever!|Alleen warme voorwerpen kunnen je lichaam opwarmen in extreme kou, maar ze werken niet voor eeuwig!
If you are going to make your visits a habit, the least you can do is bring me something new to read.|Als je van je bezoekjes een gewoonte gaat maken, kun je tenminste iets nieuws voor mij meenemen om te lezen.
Stab creatures with your white needles to leech energy from their bodies.|Doorsteek wezens met witte naalden om energie uit hun lichamen te zuigen.
I wonder, just how much time has passed since some of these were written.|Ik vraag me af hoe lang geleden het is sinds dit was geschreven.
Another? Let us see... to be honest, I'm as curious to see it as you are.|Nog één? Laat eens zien... om eerlijk te zijn, ben ik net zo nieuwsgierig als jij om het te onderzoeken.
Hold up and grab with differing objects in each hand, in order to procure something new.|Houd Omhoog en Vastpakken ingedrukt terwijl je twee verschillende voorwerpen vasthoud om iets nieuws te verkrijgen.
It is nice to see you again, but we do not have much time left. Please hurry, messenger!|Het is leuk je te zien, maar de tijd dringt. Schiet op! Holding up and grab with two differing food items, will eat them together as a meal.|Door Omhoog en Vastpakken ingedrukt te houden met twee verschillende soorten voedsel, zal je ze samen eten als een maaltijd.
You can also spit up random objects at the cost of food, if nothing is stored inside of you.|Je kan ook willekeurige voorwerpen uitspugen ten koste van voedsel, als je niets in je hebt bewaard.
What are you doing? Please!! I only just got my freedom back, how cruel can you possibly be?|Wat ben je aan het doen? Alsjeblieft!! Ik heb nog maar net mijn vrijheid terug, hoe harteloos kun je mogelijk zijn?
Hold pick-up with compatible ammunition in hand to load the rifle.|Houd oppakken ingedrukt met compatibele munitie in de hand om het geweer te laden.
Ah, you remind me of an old creature who used to visit here often.|Ah, je herinnert me aan een oud wezen dat hier vroeger vaak op bezoek kwam.
Hold pick-up to transform rocks or spears into explosives, at the cost of food.|Houd Oppakken ingedrukt om stenen of speren in explosieven te transformeren, ten koste van voedsel.
Those are the only memories I have left. I will cease functioning without them.|Dat zijn de enige herinneringen die ik nog over heb. Zonder hen hou ik op te functioneren.
The passage of time has since taken them away, of course. That was a while ago.|Natuurlijk heeft de tijd hen sindsdien van ons ontnomen. Dat was een tijd geleden.
Combat and other fast movements will quickly exhaust you.|Vechten en andere snelle bewegingen zullen je snel uitputten.
Artificer can maul creatures while they are still alive.|De Schepper kan wezens toetakelen terwijl ze nog leven.
Please, don't scare me like that. I don't appreciate it.|Alsjeblieft, laat me niet zo schrikken. Dat vind ik niet leuk.
Now, I hope you have reason to visit me. I am very busy.|Ik hoop dat je een reden voor je bezoek hebt. Ik heb het erg druk.
Another ordeal to add to my running tally of bad luck...|Nog een oordeel voor mijn groeiende lijst aan pech...
The Outer Expanse gate remains unlocked beyond this point in the timeline.|De Wildernis poort blijft ontgrendeld na dit punt in de tijdlijn.
Pups can now be found in Sandbox Mode, and some campaigns.|Welpen kunnen nu gevonden worden in de Sandbox modus en sommige campagnes.
Let us see if there is anything important written on this.|Laten we eens kijken of er iets belangrijks opgeschreven staat.
Little creature, please leave. I would prefer to be alone.|Kleine onruststoker, ga alsjeblieft weg. Ik ben liever alleen.
What are you doing?! Just because you helped me doesn't mean you can treat me this way.|Wat ben je aan het doen?! Ondanks dat je me geholpen hebt, betekent dit niet dat je me zo kan behandelen.
In your current state. I can only assume that you have found what you were looking for.|In jouw huidige status. Ik kan alleen aannemen dat je hebt gevonden waar je naar zocht.
Why would you do that to me?! I don't understand you, <PlayerName>.|Waarom zou je dat doen?! Ik begrijp je niet, <PlayerName>.
Please stop! I beg you. I don't... understand your motivation...|Alsjeblieft stop! Ik smeek je. Ik begrijp je... motivatie niet...
I can only think that you somehow find me pleasant to listen to.|Ik kan alleen bedenken dat je het op de een of andere manier fijn vindt om naar me te luisteren.
Do you have something new, or have you come to just stare at me?|Heb je iets nieuws, of ben je alleen gekomen om me aan te gapen?
Your company is welcome little creature, but please do not stay.|Je gezelschap is welkom, maar je kan hier niet blijven.
Why?! Why would you?? Please, I have so much more I need to do, still...|Waarom?! Waarom zal je?? Alsjeblieft, ik heb nog zoveel werk te verrichten…
Thank you for visiting me, but I'm afraid there is nothing here for you.|Dank je voor je bezoek, maar ik ben bang dat er hier niets te vinden is voor jou.
Despite some power to my facility being restored, those are still crucial to my survival!|Hoewel wat van mijn energie naar mijn faciliteit is hersteld, zijn die nog steeds cruciaal voor me om te overleven!  
Your intention was to help me, was it not? Then please don't play with those!|Jouw intentie was om me te helpen, toch? Speel daar dan alsjeblieft niet mee!
This is no time for games little messenger. Hurry now, before it is too late!|Dit is geen tijd voor spelletjes. Schiet op, voordat het te laat is!
Those aren't toys, <PlayerName>. I cannot trust anyone with them.|Dat is geen speelgoed, <PlayerName>. Ik kan niemand ermee vertrouwen.
Stay as long as you'd like. But not too long.|Blijf zo lang als je wilt. Maar niet te lang.
Have you found something else for me to read?|Heb je iets anders voor me gevonden dat ik kan lezen?
It is nice to see you again little messenger!|Het is goed je weer te zien, kleine boodschapper!
This chamber is not very well insulated from the cold.|Deze kamer is niet goed geïsoleerd tegen de kou.
I do enjoy the company though. You and your family are always welcome here.|Ik waardeer het gezelschap wel. Jij en je familie zijn hier altijd welkom.
It's a piece of sharpened rebar... What is it you want to know?<LINE>I don't wish to offend, but you seem too frail to use this effectively.|Het is een stuk verscherpte wapening... Wat is het dat je wilt weten?<LINE>Ik wil je niet kwetsen, maar je lijkt me te zwak om er effectief mee om te kunnen gaan.
Unfortunately, my operations are encoded with a restriction that prevents<LINE>me from carrying out violent actions against my own citizens.|Jammer genoeg zijn mijn operaties gecodeerd met een restrictie die voorkomt<LINE>dat ik gewelddadige acties tegen mijn eigen inwoners uitvoer.
You've returned! I thought you were leaving. Allow me to continue...|Je kwam terug! Ik dacht dat je wegliep. Laat me verder praten...
Ah, nevermind, let me finish our conversation.|Laat maar, laten we ons gesprek beëindigen.
Now, please leave. I would prefer to be alone.|Ga nu alsjeblieft weg. Ik ben liever alleen.
Please do not take advantage of this. I do not have the patience for your continued presence here.|Gebruik dit alsjeblieft niet in je voordeel. Ik heb het geduld niet voor jou constante aanwezigheid.
I'm returning to my work. Unless you have anything productive<LINE>for me, I have nothing further to say to you.|Ik ga verder met mijn werk. Tenzij je iets productiefs voor<LINE>me hebt, heb ik verder niets tegen jou te zeggen.
Oh, it's you again? I had told you to leave and never return.|Oh, jij bent het weer? Ik had je verteld weg te gaan en niet meer terug te komen.
Leave immediately and don't come back. And take THEM with you!|Vertrek onmiddellijk en kom niet meer terug. En neem HUN met je mee!
Ah, you've returned. You know that I care very little for the creatures that wander through my facility.|Ah, je bent terug. Je weet dat ik weinig geef om de wezens die door mijn faciliteit dwalen.
For your own sake, I hope it was worth your struggle.|Voor je eigen bestwil, hoop ik dat deze strijd het waard was.
For what reason do you visit so often? There is nothing more I can do for you.|Wat is de reden voor al die bezoekjes? Er is niets meer dat ik voor je kan doen.
I have nothing for you here little messenger. Please, I have little time left.|Ik heb niets hier voor jou, arm ding. Alsjeblieft, ik heb niet lang.
Why did you send the messenger here again? Please leave, I cannot afford any further<LINE>distractions; I am the only one who can fix this now. I trust that you understand me...|Waarom heb je alweer de boodschapper hierheen gestuurd? Ga alsjeblieft weg, Ik kan me geen verdere afleidingen<LINE>veroorloven; Ik ben de enige die dit nu kan oplossen. Ik vertrouw dat je me begrijpt...
How did it even manage to do that?...|Hoe kreeg je dat voor elkaar?...
...Nothing here... Nothing... left...|...Niets hier... Niets... over...
I would appreciate if you would not eat those. My umbilical will keep me conscious, but<LINE>every neuron lost is a piece of me lost as well...|Ik zou het waarderen als je die niet at. Mijn navelstreng houdt me bij bewustzijn, maar<LINE>elke verloren zenuwcel is ook een verloren stuk van mij...
Why have you returned? Do you have a death wish? I have nothing<LINE>left to give you... please leave, for your own sake.|Waarom ben je teruggekomen? Heb je soms een doodswens? Ik heb niets<LINE>over om aan jou te geven... ga alsjeblieft weg, voor je eigen bestwil.
You should not be here. This facility is in a constant state of decay.<LINE>Nothing in here is hospitable to the normal definition of life.|Je hoort hier niet te zijn. Deze faciliteit is in een constante staat van verrot.<LINE>Niets hier is herbergzaam voor de normale definitie van leven.
I used to be furious at the idea of creatures crawling through my superstructure.<LINE>However, I am actually grateful for this rare opportunity to not be alone.|Vroeger werd ik woedend van het idee van wezens die door mijn superstructuur kropen.<LINE>Maar, deze keer ben ik dankbaar voor de zeldzame mogelijkheid om niet alleen te zijn.
